"id","created_at","session_label","signals_scraped","signals_verified","signals_approved","signals_blocked","crisis_detected","email_sent","errors_encountered"
"67","2026-03-27 22:00:36.820542+00","SCAN-2026-03-28-0300","12","2","2","10","True","True",""
"66","2026-03-27 19:00:37.290637+00","SCAN-2026-03-28-0000","12","3","3","9","True","True",""
"65","2026-03-27 16:00:38.225346+00","SCAN-2026-03-28-0000","8","2","2","6","True","True",""
"64","2026-03-27 13:00:38.543466+00","SCAN-2026-03-27-1800","8","2","2","6","True","True",""
"63","2026-03-27 10:00:42.199383+00","SCAN-2026-03-27-1500","8","3","3","5","True","True",""
"62","2026-03-27 07:00:42.697649+00","SCAN-2026-03-27-1200","8","3","3","5","True","True",""
"61","2026-03-27 04:00:43.196611+00","SCAN-2026-03-27-0900","12","3","3","9","True","True",""
"60","2026-03-27 01:00:45.406378+00","SCAN-2026-03-27-0600","8","3","3","5","True","True",""
"59","2026-03-26 22:00:35.547597+00","SCAN-2026-03-27-0300","12","3","3","9","True","True",""
"58","2026-03-26 19:00:40.150003+00","SCAN-2026-03-27-0000","12","3","3","9","True","True",""
"57","2026-03-26 16:00:30.188923+00","SCAN-2026-03-26-2100","7","3","3","4","False","True",""
"56","2026-03-26 13:00:33.406267+00","SCAN-2026-03-26-1800","12","2","2","10","True","True",""
"55","2026-03-26 10:00:38.218162+00","SCAN-2026-03-26-1500","7","2","2","5","False","True",""
"54","2026-03-26 07:00:42.372763+00","SCAN-2026-03-26-1200","7","2","2","5","True","True",""
"53","2026-03-26 04:00:38.330471+00","SCAN-2026-03-26-0900","12","2","2","10","True","True",""
"52","2026-03-26 01:00:34.657495+00","SCAN-2026-03-26-0600","12","2","2","10","True","True",""
"51","2026-03-25 22:00:29.341981+00","SCAN-2026-03-26-0300","8","2","2","6","False","True",""
"50","2026-03-25 19:00:37.000577+00","SCAN-2026-03-26-0000","12","2","2","10","True","True",""
"49","2026-03-25 16:00:41.534295+00","SCAN-2026-03-25-2100","12","3","3","9","True","True",""
"48","2026-03-25 13:00:39.846541+00","SCAN-2026-03-25-1800","8","2","2","6","True","True",""
"47","2026-03-25 10:00:38.92401+00","SCAN-2026-03-25-1500","8","3","3","5","False","True",""
"46","2026-03-25 07:00:43.695881+00","SCAN-2026-03-25-1200","8","2","2","6","True","True",""
